Week,Customer,Sales1
1,1744126.375,20347
2,1861445,44351
3,1783348.75,25177
4,1831941.625,11032
5,1818942.625,77269
6,1742907,9495
7,1893556,9162
8,1840299,53279
9,1734400,11136
10,2136443,9127
11,1603082,19938
12,1753754,13781
13,1784001,13826
14,2069112,15943
15,1793829,11842
16,1786344,16845
17,1681072,149963
18,1704080,7756
19,1749835,7564
20,1857926,10447
21,1841071,9371
22,1859444,9288
23,1811747,15656
24,1704668,11734
25,1774193,148858
26,1783720,31296
27,1861516,117735
28,1801250,33246
29,1797034,6779
30,2020259,14681
31,1950609,14649
32,1754797,19156
33,1828972,20261
34,1836726,13119
35,2005393,19203
36,1916922,19376
37,1991256,24274
38,1947663,21080
39,1923901,10791
40,1988756,13746
41,1936070,58387
42,2280015,20347
43,1923100,7104
44,1903706,14352
45,1957019,32098
46,1928595,18533
47,1927308,23175
48,1857573,29401
49,1941010,28680
50,1946640,17590
51,2048424,80633
52,1821132,6454
53,1866621,13293
54,1916256,383471
55,2033433,17144
56,1878402,9210
57,1884862,16391
58,1908455,76744
59,1999585,32381
60,1829677,19889
61,1740329,8031
62,2377478,10506
63,1686361,11763
64,2069503,17063
65,1997131,12586
66,2136640,12834
67,2065704,9183
68,1903647,10049
69,2026257,15590
70,1827170,12793
71,1893600,36307
72,1828941,115739
73,2139977,14196
74,1856575,442490
75,1824347,11683
76,1841546,6543
77,1979772,5065
78,1739408,8020
79,2079329,9602
80,1949407,40082
81,2081038,23664
82,1879900,9063
83,1949700,8813
84,1984531,10811
85,1966961,30179
86,2138785,29679
87,2131352,9039
88,1993190,7842
89,2155019,7426
90,2118256,12124
91,2059015,12583
92,1998690,19913
93,2013834,34075
94,2139472,37151
95,1949677,21247
96,2032719,15959
97,1980400,15681
98,2096034,21899
99,2105895,14870
100,1962490,8736
101,1962608,9509
102,2054413,10213
103,2020983,8714
104,2005664,164300
105,2042842,16670
106,2039104,35180
107,1895518,10692
108,1981458,10345
109,1935371,10295
110,2178004,25115
111,2140019,44756
112,1877713,18188
113,2006472,6643
114,1990230,12944
115,2431995,25603
116,1715724,19535
117,1970439,22847
118,2002062,21886
119,2160359,13582
120,1980543,12085
121,2011829,35222
122,1864750,14006
123,1965707,10061
124,2041411,10958
125,1895580,9815
126,1996714,8681
127,2202714,11098
128,1957184,44930
129,1980994,8189
130,2099286,9399
131,1996128,25698
132,1998538,84595
133,2039246,24509
134,1896259,8090
135,2123087,8856
136,2163787,7424
137,1885096,8514
138,1974981,12819
139,2099150,21956
140,2289219,20784
141,2157535,18494
142,2329793,20511
143,2040367,15812
144,2021769,9071
145,2129384,7851
146,2054689,18625
147,2214358,12982
148,2027718,8999
149,1980912,9723
150,2072139,9753
151,1940679,24560
152,2008268,12650
153,2070750,8522
154,1979990,8076
155,1977040,10483
156,2009671,7944
157,1915946,7212
158,1996239,106377
159,2060895,9538
160,2111009,9218
161,2000339,6232
162,2207720,8444
163,2087015,8140
164,2003374,47760
165,1968812,30094
166,1917450,8433
167,2406463,8095
168,1772688,6355
169,1990984,21779
170,1974978,21412
171,2380263,6489
172,1798664,6031
173,1880261,6518
174,1911423,37254
175,1913221,11692
176,1976232,7592
177,1915817,8884
178,1922775,8829
179,2025957,7670
180,1804675,5591
181,2085160,5914
182,1952339,5975
183,1899352,85235
184,1979818,34022
185,1963744,32618
186,1982027,21741
187,2081587,12314
188,1935682,14621
189,2071574,13453
190,2027212,7164
191,2105241,11257
192,2016916,10380
193,2173341,14734
194,2122264,8859
195,1978478,15484
196,2136922,16841
197,2190750,13349
198,2171401,8126
199,2255146,7298
200,2007325,8016
201,1926323,9168
202,1923352,6969
203,1974251,6601
204,2071237,9631
205,2124679,18600
206,2023371,18222
207,1975250,17188
208,2081954,7155
209,2105935,8954
210,1989860,9476
212,1891567,8809
213,2029776,32910
214,2057174,23253
215,1956555,9884
216,2144345,6330
217,1517678,6413
218,1983683,6707
220,1760840,7194
221,2029388,11690
222,2014728,7268
223,2312218,7094
224,1843088,5501
225,2100330,7647
226,1967418,47397
227,1727548,31616
228,1915584,8548
229,1788422,8445
230,1921733,8143
231,1820150,7027
232,1864199,8143
233,2046248,7027
234,2018031,17095
235,1912953,12208
236,1673048,36066
237,2031613,9471
238,2076701,10821
239,1845870,24666
240,2079844,10658
241,1961676,11469
242,1978377,10650
243,1802598,8845
244,2074511,8878
245,1988642,8189
246,2123735,8396
247,2032498,9537
248,1979778,8292
249,1586092,11092
250,2053634,7698
251,2154686,9725
252,1970368,32092
253,2104869,8894
254,1952608,7891
255,2051193,18608
256,2001313,25451
257,1797701,8246
258,1686125,24078
259,1131040,7228
260,2068568,16211
261,1992754,14677
266,1094480,9948
267,1748239,9633
268,1707399,26612
269,1424083,8927
270,1681154,9232
271,2295875,11266
272,1720211,5311
273,1921148,22840
274,1357788,6714
275,1489289,6159
276,1911836,5199
277,1960056,25148
280,1813356,4428
281,1909047,68615
282,1822344,9679
283,1989206,13055
286,1822297,8182
287,1960324,157193
288,1864038,13260
289,1825462,13923
290,1834216,18331
291,1386253,17946
292,1746031,11670
293,1835056,26298
294,1861680,6160
295,1828001,27649
296,2036450,6439
297,1966625,6187
298,1949767,5997
299,1700215,6607
300,1772545,7014
301,1995602,30470
302,1720750,6997
303,2037216,6116
304,1815017,29973
305,2000168,8519
306,1944260,9713
307,1892541,71110
308,1331389,7740
309,1693942,43624
310,1724099,7973
311,1951332,7734
312,1989727,7834
313,1901345,21122
318,1874264,9560
319,1714703,8256
320,1888364,7816
321,1832819,7125
322,1811094,23864
323,1961861,7045
324,1642487,5709
325,1910515,7680
326,1809870,12598
327,1976284,9411
328,1882979,5406
329,1863766,7652
330,1835608,6211
331,1739538,7187
372,1178359,8138
373,1597037,34080
374,1615023,9451
375,1922119,7280
376,2296200,7606
377,1677168,6965
378,1944649,5627
379,1926320,7344
380,2060374,6202
381,1911717,5154
382,1758712,5927
383,1788187,8062
388,2052069,5900
389,1746952,67054
390,1659875,8008
391,1791648,35336
394,2113718,31193
395,2017553,7086
396,1653455,7297
397,2047570,6720
398,1927384,6734
